"id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza","Tipo"
1,"ESPAÑA","CEUTA","Colegio Público","PABLO RUIZ PICASSO",51000021,"Centro público",0
2,"ESPAÑA","CEUTA","Instituto de Educación Secundaria (IES)","CLARA CAMPOAMOR",51004671,"Centro público",0
3,"ESPAÑA","CEUTA","Centro Privado con varias Enseñanzas de Régimen General","LA INMACULADA",51000055,"Centro privado",1
4,"ESPAÑA","CEUTA","Centro Privado con varias Enseñanzas de Régimen General","SEVERO OCHOA",51000067,"Centro privado",1
5,"ESPAÑA","CEUTA","Colegio Público","FEDERICO GARCÍA LORCA",51000171,"Centro público",0
6,"ESPAÑA","CEUTA","Colegio Público","SANTA AMELIA",51000183,"Centro público",0
7,"ESPAÑA","CEUTA","Colegio Público","LOPE DE VEGA",51000195,"Centro público",0
8,"ESPAÑA","CEUTA","Colegio Público","SANTIAGO RAMÓN Y CAJAL",51000201,"Centro público",0
9,"ESPAÑA","CEUTA","Colegio Público","ANDRÉS MANJÓN",51000213,"Centro público",0
10,"ESPAÑA","CEUTA","Colegio Público","RAMÓN MARÍA DEL VALLE INCLÁN",51000225,"Centro público",0
11,"ESPAÑA","CEUTA","Colegio Público","MAESTRO JUAN MOREJÓN",51000237,"Centro público",0
12,"ESPAÑA","CEUTA","Colegio Público","MAESTRO JOSÉ ACOSTA",51000249,"Centro público",0
13,"ESPAÑA","CEUTA","Colegio Público","VICENTE ALEIXANDRE",51000262,"Centro público",0
14,"ESPAÑA","CEUTA","Centro Privado con varias Enseñanzas de Régimen General","SANTA MARIA MICAELA",51000274,"Centro privado",1
15,"ESPAÑA","CEUTA","Instituto de Educación Secundaria (IES)","ABYLA",51000286,"Centro público",0
16,"ESPAÑA","CEUTA","Instituto de Educación Secundaria (IES)","SIETE COLINAS",51000298,"Centro público",0
17,"ESPAÑA","CEUTA","Instituto de Educación Secundaria (IES)","ALMINA",51000304,"Centro público",0
18,"ESPAÑA","CEUTA","Instituto de Educación Secundaria (IES)","PUERTAS DEL CAMPO",51000331,"Centro público",0
19,"ESPAÑA","CEUTA","Colegio Público","PRINCIPE FELIPE",51000353,"Centro público",0
20,"ESPAÑA","CEUTA","Colegio Público","JOSÉ ORTEGA Y GASSET",51000365,"Centro público",0
21,"ESPAÑA","CEUTA","Colegio Público","ROSALIA DE CASTRO",51000377,"Centro público",0
22,"ESPAÑA","CEUTA","Colegio Público","REINA SOFÍA",51000420,"Centro público",0
23,"ESPAÑA","CEUTA","Centro Privado con varias Enseñanzas de Régimen General","BEATRIZ DE SILVA",51000432,"Centro privado",1
24,"ESPAÑA","CEUTA","Conservatorio de Música o Danza","CONSERVATORIO PROFESIONAL MUNICIPAL DE CEUTA",51000444,"Centro público",0
25,"ESPAÑA","CEUTA","Colegio Público","REY JUAN CARLOS I",51000456,"Centro público",0
26,"ESPAÑA","CEUTA","Centro Privado de Educación Infantil","MANZANITA",51000468,"Centro privado",2
27,"ESPAÑA","CEUTA","Centro Público de Educación de Personas Adultas (Presencial)","MIGUEL HERNANDEZ",51000471,"Centro público",0
28,"ESPAÑA","CEUTA","Colegio Público","MARE NOSTRUM",51000501,"Centro público",0
29,"ESPAÑA","CEUTA","Colegio Público de Educación Especial","SAN ANTONIO",51000511,"Centro público",0
30,"ESPAÑA","CEUTA","Centro Público de Educación de Personas Adultas (Presencial)","EDRISSIS",51000626,"Centro público",0
31,"ESPAÑA","CEUTA","Instituto de Educación Secundaria (IES)","LUIS DE CAMOENS",51000638,"Centro público",0
32,"ESPAÑA","CEUTA","Escuela Oficial de Idiomas (EOI)","E.O.I. DE CEUTA",51000641,"Centro público",0
33,"ESPAÑA","CEUTA","Centro Privado de Educación Infantil","SOLETE",51000651,"Centro privado",2
34,"ESPAÑA","CEUTA","Centro Privado con varias Enseñanzas de Régimen General","SAN DANIEL",51000675,"Centro privado",1
35,"ESPAÑA","CEUTA","Centro Privado de Educación Infantil","GLOBITOS",51000705,"Centro privado",2
36,"ESPAÑA","CEUTA","Centro Privado con varias Enseñanzas de Régimen General","SAN AGUSTIN",51000043,"Centro privado",1
37,"ESPAÑA","MELILLA","Colegio Público de Educación Especial","REINA SOFÍA",52004743,"Centro público",0
38,"ESPAÑA","MELILLA","Escuela de Educación Infantil","SAN FRANCISCO",52004755,"Centro público",0
39,"ESPAÑA","MELILLA","Centro Privado de Educación Infantil","CRUZ ROJA",52004767,"Centro privado",2
40,"ESPAÑA","MELILLA","Centro Privado de Educación Infantil","CENTRO SOCIOCULTURAL Mª INMACULADA",52004779,"Centro privado",2
